,cprcode,brcode,ib_cf_qty,new_ib_vs_stock_cv
243,0005936,1000,23,23
244,0005937,1000,10,10
245,0005958,1000,5,5
246,0005959,1000,16,16
247,0006009,1000,6,6
248,0006033,1000,5,5
249,0006067,1000,9,9
250,0006072,1000,128,128
251,0006073,1000,109,109
252,0006077,1000,437,437
253,0006078,1000,590,590
254,0006087,1000,129,129
255,0006088,1000,5,5
256,0006092,1000,704,704
257,0006138,1000,0,0
258,0006173,1000,0,0
259,0006176,1000,0,0
260,0006219,1000,18,18
261,0006221,1000,24,24
262,0006284,1000,14,14
263,0006285,1000,0,0
264,0006288,1000,3,3
265,0006293,1000,25,25
266,0006294,1000,0,0
267,0006336,1000,9,9
268,0006337,1000,14,14
269,0006372,1000,0,0
270,0006373,1000,0,0
271,0006389,1000,0,0
272,0006440,1000,14,14
273,0006442,1000,0,0
274,0006461,1000,26,26
275,0006467,1000,21,21
276,0006468,1000,18,18
277,0006471,1000,0,0
278,0006518,1000,0,0
279,0006519,1000,0,0
280,0006532,1000,3,3
281,0006533,1000,30,30
282,0006535,1000,13,13
283,0006537,1000,30,30
284,0006538,1000,31,31
285,0006554,1000,9,9
286,0006568,1000,12,12
287,0006590,1000,0,0
288,0006592,1000,23,23
289,0006593,1000,21,21
290,0006595,1000,21,21
291,0006598,1000,25,25
292,0006601,1000,20,20
293,0006602,1000,8,8
294,0006641,1000,37,37
295,0006700,1000,42,42
296,0006702,1000,48,48
297,0006705,1000,18,18
298,0006706,1000,14,14
299,0006717,1000,14,14
300,0006723,1000,75,75
301,0006724,1000,50,50
302,0006728,1000,0,0
303,0006737,1000,2,2
304,0006741,1000,11,11
305,0006769,1000,50,50
306,0006776,1000,196,196
307,0006777,1000,75,75
308,0006778,1000,21,21
309,0006779,1000,55,55
310,0006807,1000,28,28
311,0006816,1000,78,78
312,0006839,1000,10,10
313,0006886,1000,45,45
314,0006887,1000,28,28
315,0006892,1000,57,57
316,0006894,1000,14,14
317,0006912,1000,5,5
318,0006913,1000,0,0
319,0006935,1000,0,0
320,0006971,1000,18,18
321,0006972,1000,3,3
322,0006973,1000,0,0
323,0006975,1000,40,40
324,0006977,1000,0,0
325,0007013,1000,0,0
326,0007043,1000,121,121
327,0007044,1000,101,101
328,0007045,1000,42,42
329,0007049,1000,15,15
330,0007050,1000,28,28
331,0007052,1000,98,98
332,0007055,1000,8,8
333,0007056,1000,20,20
334,0007062,1000,112,112
335,0007072,1000,9,9
336,0007075,1000,41,41
337,0007123,1000,9,9
338,0007138,1000,14,14
339,0007139,1000,5,5
340,0007143,1000,0,0
341,0007149,1000,200,200
342,0007158,1000,0,0
343,0007160,1000,2,2
344,0007167,1000,8,8
345,0007173,1000,8,8
346,0007218,1000,12,12
347,0007219,1000,19,19
348,0007220,1000,27,27
349,0007221,1000,23,23
350,0007240,1000,6,6
351,0007247,1000,30,30
352,0007273,1000,0,0
353,0007284,1000,0,0
354,0007301,1000,13,13
355,0007312,1000,0,0
356,0007349,1000,0,0
357,0007356,1000,8,8
358,0007373,1000,76,76
359,0007374,1000,39,39
360,0007376,1000,182,182
361,0007379,1000,45,45
362,0007380,1000,75,75
363,0007413,1000,26,26
364,0007415,1000,9,9
365,0007416,1000,29,29
366,0007417,1000,20,20
367,0007418,1000,0,0
368,0007427,1000,5,5
369,0007438,1000,7,7
370,0007444,1000,77,77
371,0007465,1000,14,14
372,0007466,1000,3,3
373,0007469,1000,7,7
374,0007496,1000,19,19
375,0007499,1000,9,9
376,0007500,1000,7,7
377,0007514,1000,13,13
378,0007515,1000,9,9
379,0007517,1000,0,0
380,0007533,1000,1,1
381,0007539,1000,14,14
382,0007540,1000,24,24
383,0007546,1000,8,8
384,0007559,1000,12,12
385,0007564,1000,0,0
386,0007565,1000,32,32
387,0007571,1000,10,10
388,0007572,1000,8,8
389,0007576,1000,23,23
390,0007577,1000,23,23
391,0007578,1000,9,9
392,0007605,1000,18,18
393,0007606,1000,11,11
394,0007619,1000,15,15
395,0007625,1000,22,22
396,0007641,1000,6,6
397,0007678,1000,0,0
398,0007682,1000,8,8
399,0007698,1000,6,6
400,0007699,1000,2,2
401,0007700,1000,3,3
402,0007701,1000,24,24
403,0007702,1000,0,0
404,0007722,1000,5,5
405,0007741,1000,24,24
406,0007814,1000,0,0
407,0007817,1000,14,14
408,0007818,1000,21,21
409,0007839,1000,0,0
410,0007899,1000,16,16
411,0007908,1000,22,22
412,0007941,1000,7,7
413,0007943,1000,12,12
414,0007945,1000,18,18
415,0007947,1000,6,6
416,0007948,1000,18,18
417,0007949,1000,21,21
418,0007950,1000,17,17
419,0007951,1000,16,16
420,0007952,1000,0,0
421,0007953,1000,17,17
422,0007954,1000,16,16
423,0007955,1000,11,11
424,0007956,1000,6,6
425,0007985,1000,3,3
426,0007986,1000,4,4
427,0007987,1000,7,7
428,0007991,1000,3,3
429,0007997,1000,6,6
430,0007999,1000,0,0
431,0008000,1000,13,13
432,0008001,1000,2,2
433,0008004,1000,6,6
434,0008005,1000,5,5
435,0008006,1000,1,1
436,0008007,1000,0,0
437,0008008,1000,9,9
438,0008028,1000,16,16
439,0008029,1000,20,20
440,0008030,1000,23,23
441,0008031,1000,6,6
442,0008032,1000,13,13
443,0008033,1000,0,0
444,0008037,1000,5,5
445,0008059,1000,6,6
446,0008087,1000,11,11
447,0008099,1000,37,37
448,0008105,1000,11,11
449,0008106,1000,20,20
450,0008228,1000,5,5
451,0008230,1000,10,10
452,0008233,1000,4,4
453,0008241,1000,8,8
454,0008242,1000,7,7
455,0008248,1000,15,15
456,0008250,1000,5,5
457,0008258,1000,10,10
458,0008260,1000,4,4
459,0008279,1000,0,0
460,0008280,1000,0,0
461,0008299,1000,0,0
462,0008300,1000,15,15
463,0008301,1000,12,12
464,0008302,1000,22,22
465,0008303,1000,10,10
466,0008311,1000,0,0
467,0008312,1000,3,3
468,0008314,1000,0,0
469,0008315,1000,0,0
470,0008321,1000,11,11
471,0008323,1000,5,5
472,0008325,1000,8,8
473,0008342,1000,33,33
474,0008343,1000,23,23
475,0008344,1000,22,22
476,0008345,1000,17,17
477,0008346,1000,5,5
478,0008348,1000,0,0
479,0008349,1000,0,0
480,0008350,1000,23,23
481,0008355,1000,10,10
482,0008356,1000,10,10
483,0008357,1000,2,2
484,0008360,1000,93,93
485,0008361,1000,22,22
486,0008362,1000,0,0
487,0008363,1000,11,11
488,0008365,1000,28,28
489,0008387,1000,27,27
490,0008394,1000,0,0
491,0008402,1000,5,5
492,0008403,1000,10,10
493,0008406,1000,10,10
494,0008407,1000,9,9
495,0008408,1000,6,6
496,0008409,1000,0,0
497,0008410,1000,9,9
498,0008412,1000,5,5
499,0008413,1000,4,4
500,0008414,1000,5,5
501,0008416,1000,14,14
502,0008418,1000,11,11
503,0008419,1000,8,8
504,0008420,1000,6,6
505,0008422,1000,3,3
506,0008423,1000,0,0
507,0008424,1000,8,8
508,0008425,1000,0,0
509,0008461,1000,6,6
510,0008462,1000,10,10
511,0008465,1000,3,3
512,0008466,1000,10,10
513,0008467,1000,8,8
514,0008469,1000,4,4
515,0008472,1000,2,2
516,0008473,1000,0,0
517,0008498,1000,26,26
518,0008723,1000,0,0
519,0008724,1000,1,1
520,0009079,1000,3,3
521,0009632,1000,0,0
522,0009676,1000,0,0
523,0009869,1000,4,4
524,0009909,1000,6,6
525,0009915,1000,9,9
526,0009916,1000,0,0
527,0009927,1000,7,7
528,0009930,1000,14,14
529,0009936,1000,0,0
530,0009937,1000,16,16
531,0009938,1000,0,0
532,0010101,1000,7,7
533,0010649,1000,4,4
